Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,Homens,Mulheres
Tunisia,11855,[11404.5-12323.3],100.3,78.7,22.95,7279,4576
Côte d'Ivoire,11760,[11127.6-12428.3],44.6,88.0,22.47,5220,6540
Zimbabwe,10676,[10162.9-11215.0],71.8,139.4,34.61,3946,6730
New Zealand,10508,[10257.2-10764.9],217.9,99.0,29.55,5582,4926
Azerbaijan,10466,[10156.5-10785.0],103.2,91.3,22.16,5730,4736
Ireland,10385,[10138.9-10637.1],210.3,104.9,32.57,5487,4898
Mali,10234,[9540.9-10977.4],50.5,107.5,21.86,3927,6307
Plurinational State of Bolivia,9935,[9550.6-10334.9],85.1,82.2,21.21,4492,5443
Guatemala,9609,[9367.2-9857.1],53.6,70.7,19.30,4402,5207
Haiti,9245,[8934.4-9566.4],81.1,104.0,34.65,4608,4637
Bosnia and Herzegovina,9209,[8964.8-9459.8],280.7,128.1,29.63,5480,3729
Burkina Faso,8695,[7649.0-9884.1],41.6,84.4,18.51,3248,5447
Zambia,8672,[8086.4-9300.0],47.2,103.3,23.00,3791,4881
Uruguay,8577,[8351.4-8808.7],246.9,127.5,31.68,4638,3939
Republic of Moldova,8351,[8137.2-8570.5],207.0,128.7,25.20,4989,3362
Georgia,8215,[7988.7-8447.7],205.9,113.0,24.42,4523,3692
Lithuania,8168,[7958.8-8382.7],300.0,122.1,28.27,4492,3676
Senegal,7893,[6410.4-9718.5],47.1,87.4,18.56,3024,4869
Somalia,7439,[6603.3-8380.5],46.8,90.9,17.77,2827,4612
Niger,7382,[5995.4-9089.3],30.5,62.2,12.04,3339,4043
Papua New Guinea,7276,[4937.1-10722.9],81.3,130.1,31.55,3468,3808
Slovenia,6592,[6397.4-6792.5],317.1,115.9,32.39,3734,2858
Paraguay,6565,[6361.7-6774.8],92.0,95.5,26.58,3546,3019
Lebanon,6438,[6262.9-6618.0],94.3,85.6,22.17,3457,2981
Honduras,6378,[6105.2-6663.0],64.4,81.3,18.15,3277,3101
Lao People's Democratic Republic,6208,[5541.5-6954.7],85.3,117.8,25.26,3520,2688
Jordan,6190,[6010.0-6375.4],60.7,88.5,21.76,3337,2853
Armenia,6096,[5909.1-6288.8],205.7,126.8,30.55,3441,2655
Chad,6083,[5209.7-7102.6],37.0,77.3,15.91,2538,3545
Rwanda,6044,[5365.0-6808.9],46.7,81.4,17.31,2584,3460
Costa Rica,6028,[5838.5-6223.6],118.3,80.1,24.47,3189,2839
Guinea,5888,[5465.1-6343.7],44.8,90.7,20.10,2190,3698
Latvia,5827,[5642.9-6017.1],308.9,124.5,30.05,3033,2794
Burundi,5701,[5060.5-6422.5],47.9,103.8,21.90,2413,3288
Puerto Rico,5570,[5385.5-5760.8],194.7,73.9,20.82,3116,2454
El Salvador,5301,[5110.5-5498.6],81.7,66.8,20.63,2343,2958
Libya,4750,[4380.9-5150.1],69.1,88.2,26.11,2579,2171
Kyrgyzstan,4680,[4515.4-4850.6],71.7,88.2,18.80,2453,2227
Benin,4662,[4065.0-5346.6],38.5,69.3,16.58,2265,2397
South Sudan,4633,[4112.5-5219.4],41.4,72.2,15.80,2016,2617
Jamaica,4576,[4403.8-4755.0],154.5,119.9,31.05,2457,2119
Nicaragua,4560,[4397.3-4728.8],68.8,78.0,20.53,2110,2450
Mongolia,4469,[4276.5-4670.2],136.3,176.2,39.96,2526,1943
Turkmenistan,4335,[4159.0-4518.4],71.9,83.7,14.70,2147,2188
North Macedonia,4224,[4058.7-4396.0],202.7,113.6,25.81,2584,1640
Estonia,4009,[3860.4-4163.3],302.2,116.3,31.00,2151,1858
Albania,3978,[3786.7-4178.9],138.2,74.9,19.69,2659,1319
Tajikistan,3843,[3696.2-3995.6],40.3,64.2,16.72,1932,1911
Panama,3760,[3609.8-3916.5],87.1,70.2,20.31,1972,1788
Togo,3468,[3175.9-3786.9],41.9,79.1,19.64,1608,1860
Sierra Leone,3389,[3288.0-3493.2],42.5,76.9,15.49,1389,2000
Gaza Strip and West Bank,2895,[2399.9-3492.3],56.7,103.5,27.79,1541,1354
Liberia,2603,[2114.1-3205.0],51.5,90.5,21.75,1096,1507
Cyprus,2457,[2323.7-2597.9],203.5,103.1,30.92,1455,1002
Trinidad and Tobago,2239,[2106.4-2380.0],160.0,103.4,29.00,1195,1044
Mauritania,2121,[1722.6-2611.5],45.6,78.3,16.76,884,1237
Oman,2029,[1886.3-2182.4],39.7,64.6,13.52,1351,678
Central African Republic,1957,[1676.1-2285.0],40.5,76.8,15.51,799,1158
United Arab Emirates,1896,[1766.6-2034.8],19.2,55.9,21.21,1012,884
Namibia,1876,[1783.2-1973.6],73.8,116.1,26.28,829,1047
Montenegro,1765,[1655.5-1881.7],281.0,145.2,33.92,1031,734
Kuwait,1719,[1627.1-1816.1],40.3,63.6,21.39,948,771
Eritrea,1670,[1482.4-1881.4],47.1,72.1,14.76,639,1031
Republic of Congo,1595,[1428.5-1780.9],28.9,56.6,14.91,762,833
La Réunion France,1523,[1411.3-1643.6],170.1,97.8,27.02,919,604
Mauritius,1504,[1400.5-1615.1],118.3,72.4,19.42,742,762
Lesotho,1256,[1147.9-1374.2],58.6,74.8,15.88,460,796
Luxembourg,1170,[1083.7-1263.2],186.9,87.7,27.35,666,504
Botswana,1112,[1036.1-1193.5],47.3,63.4,16.88,494,618
Gabon,1030,[882.1-1202.7],46.3,71.5,14.25,468,562
Malta,966,[890.4-1048.0],218.8,79.8,24.28,544,422
Martinique,881,[807.2-961.6],234.8,79.4,23.97,467,414
Guadeloupe,845,[772.7-924.1],211.2,85.4,23.82,464,381
Guinea-Bissau,836,[679.0-1029.3],42.5,83.3,16.83,318,518
Fiji,825,[745.6-912.8],92.0,98.4,22.88,312,513
The Republic of the Gambia,810,[705.6-929.8],33.5,65.7,17.10,395,415
Barbados,743,[673.8-819.4],258.6,121.9,29.86,373,370
Qatar,704,[583.6-849.3],24.4,64.5,22.14,465,239
Suriname,658,[590.9-732.7],112.2,101.5,29.34,356,302
Iceland,641,[581.5-706.6],187.8,84.0,27.69,347,294
Eswatini,613,[560.3-670.7],52.8,82.2,16.42,224,389
Bahrain,593,[535.0-657.3],34.8,64.3,20.73,312,281
Equatorial Guinea,592,[507.0-691.2],42.2,76.2,13.22,288,304
Guyana,565,[505.0-632.1],71.8,67.7,18.38,249,316
Timor-Leste,539,[481.1-603.8],40.9,61.9,16.54,272,267
Djibouti,527,[467.8-593.7],53.3,65.3,12.22,213,314
Cabo Verde,488,[427.7-556.8],87.8,107.6,30.05,262,226
French Polynesia,479,[403.2-569.0],170.5,131.7,30.59,282,197
Bahamas,467,[411.7-529.7],118.8,99.8,26.96,227,240
New Caledonia,464,[407.3-528.6],162.5,119.7,33.12,273,191
